SEQ_NFE;CHAVE_NOTA;COD_UF_EMIT;COD_UF_DEST;TIP_FIN_NFE;SEQ_PROD;COD_CEST;COD_CST;COD_NCM;COD_CFOP;TIP_OPERACAO;EMIT_COD_CNAE;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_PRINC;DEST_IE;DEST_SITUACAO;DEST_IND_SUBLIMITE;DEST_IND_SN;TIPO_IMPOSTO
438851735;35250660881299000910550020007039061966687337;SP;AL;1;2943774570;;0;33074900;6107;;;3;N;;;;0;N;DIFAL
438851735;35250660881299000910550020007039061966687337;SP;AL;1;2943774571;1100700;0;34029029;6107;;;3;N;;;;0;N;DIFAL
438851735;35250660881299000910550020007039061966687337;SP;AL;1;2943774572;2003700;0;34013000;6107;;;3;N;;;;0;N;DIFAL
438851735;35250660881299000910550020007039061966687337;SP;AL;1;2943774573;;0;34025000;6108;;;3;N;;;;0;N;DIFAL
438851735;35250660881299000910550020007039061966687337;SP;AL;1;2943774574;1100700;0;34029090;6107;;;3;N;;;;0;N;DIFAL
439753158;31250614169897001249550010006931891007132432;MG;AL;1;2949226157;2003200;0;33079000;6108;;0000000;3;N;;;;0;S;DIFAL
437563237;35250611132398000136550100003010091277523381;SP;AL;1;2936942230;;0;44219900;6107;;;3;N;;;;0;N;DIFAL
437563237;35250611132398000136550100003010091277523381;SP;AL;1;2936942231;;0;39181000;6107;;;3;N;;;;0;N;DIFAL
438928679;35250623413457000123550060003134461823297123;SP;AL;1;2944286891;2000800;60;33030020;6106;;;3;N;;;;0;N;DIFAL
437539375;35250641563831000159550080004169701032510342;SP;AL;1;2936754894;;0;63022200;6107;;;3;N;;;;0;S;DIFAL
437125268;35250642412996000192550030000549581112713214;SP;AL;1;2935011743;;0;62052000;6108;;;3;N;;;;0;N;DIFAL
438631383;35250657561158000158550010000204611630763980;SP;AL;1;2942784268;1400600;60;39241000;6404;;;3;N;;;;0;N;DIFAL
438463803;35250639269114000177550070006559141872128944;SP;AL;1;2942138699;;0;39249000;6108;;;3;N;;;;0;N;DIFAL
439276509;35250601773518001011550120007988831394164804;SP;AL;1;2946195466;;0;33059000;6107;;;3;N;;;;0;S;DIFAL
439276509;35250601773518001011550120007988831394164804;SP;AL;1;2946195467;;0;33059000;6107;;;3;N;;;;0;S;DIFAL
438663224;31250640644317000185550010001454551260102907;MG;AL;1;2942945960;2805700;0;82119400;6108;;4744001;3;N;;;;0;S;DIFAL
438705691;35250613434272000141550030016016621618613148;SP;AL;1;2943080416;2001500;0;33049990;6102;;;3;N;;;;0;S;DIFAL
438746964;35250612812808000152550030003966881348381619;SP;AL;1;2943238232;;0;48089000;6108;;;3;N;;;;0;N;DIFAL
438565688;35250649892622000160550020002216291958763600;SP;AL;1;2942688356;;0;61112000;6108;;;3;N;;;;0;N;DIFAL
437267728;35250637562240000270550010003879231762817919;SP;AL;1;2935487905;;0;57050000;6102;;;3;S;;;;0;N;DIFAL
437087993;42250649989326000182550060003939791525185431;SC;AL;1;2934849621;;0;62069000;6108;;;3;N;;;;0;N;DIFAL
437370315;35250624259537000139550010004334591808092462;SP;AL;1;2935845756;;0;92021000;6108;;4763601;3;N;;;;0;N;DIFAL
438412884;35250641796832000143550100002085821734626607;SP;AL;1;2941741245;;0;61046900;6102;;;3;N;;;;0;N;DIFAL
437541745;35250641796832000143550100001854721452843458;SP;AL;1;2936761869;;0;61046900;6102;;;3;N;;;;0;S;DIFAL
437672505;31250614144597000314550050001998121168762959;MG;AL;1;2937470033;;0;21069030;6108;;;3;N;;;;0;S;DIFAL
437672505;31250614144597000314550050001998121168762959;MG;AL;1;2937470034;2000900;0;33041000;6108;;;3;N;;;;0;S;DIFAL
440640895;26250621596736000144550010002554131272604000;PE;AL;1;2953990548;1301500;0;90183219;6108;;;3;N;;;;0;N;DIFAL
440640895;26250621596736000144550010002554131272604000;PE;AL;1;2953990549;1301000;0;30059090;6108;;;3;N;;;;0;N;DIFAL
440640895;26250621596736000144550010002554131272604000;PE;AL;1;2953990550;2006400;0;82121020;6108;;;3;N;;;;0;N;DIFAL
440640895;26250621596736000144550010002554131272604000;PE;AL;1;2953990551;;0;30059090;6108;;;3;N;;;;0;N;DIFAL
440640895;26250621596736000144550010002554131272604000;PE;AL;1;2953990553;;0;30059090;6108;;;3;N;;;;0;N;DIFAL
